time,value
1,107.01
2,115.68
3,96.35
4,108.12
5,114.84
6,124.01
7,129.81
8,114.23
9,126.9
10,124.57
11,122.91
12,123.37
13,128.01
14,121.62
15,125.8
16,130.76
17,129.21
18,119.07
19,148.52
20,144.28
21,135.22
22,136.77
23,135.4
24,149.1
25,141.09
26,146.71
27,166.49
28,148.35
29,155.14
30,157.74
31,163.54
32,152.82
33,162.97
34,148.42
35,174.08
36,162.71
37,172.26
38,167.21
39,173.62
40,182.53
41,162.34
42,165.58
43,161.13
44,171.79
45,182.64
46,180.16
47,193.77
48,195.03
49,191.59
50,193.66
51,187.68
52,210.5
53,197.5
54,190.35
55,210.99
56,204.98
57,193.95
58,219.35
59,202.83
60,219.07
