time,value
1,95.88
2,111.86
3,106.97
4,106.55
5,103.13
6,94.23
7,108.06
8,109.67
9,113.43
10,109.07
11,116.34
12,121.5
13,123.26
14,128.99
15,136.02
16,125.58
17,130.85
18,141.56
19,136.96
20,133.96
21,139.64
22,140.96
23,150.76
24,140.36
25,140.35
26,148.12
27,150.87
28,137.71
29,157.07
30,144.84
31,161.52
32,156.35
33,159.48
34,159.07
35,174.17
36,148.48
37,162.46
38,157.5
39,162.15
40,177.93
41,171.54
42,191.07
43,176.18
44,172.33
45,179.42
46,188.12
47,173.95
48,191.08
49,197.23
50,190.5
51,196.9
52,191.57
53,188.64
54,196.81
55,200.9
56,202.95
57,193.33
58,202.98
59,213.63
60,219.94
