time,value
1,100.68
2,103.0
3,112.04
4,101.21
5,101.54
6,128.58
7,119.42
8,114.29
9,118.0
10,112.32
11,126.79
12,130.0
13,115.31
14,138.31
15,119.94
16,128.38
17,133.35
18,131.86
19,137.48
20,126.51
21,150.48
22,142.34
23,143.8
24,133.37
25,145.78
26,129.48
27,145.07
28,137.89
29,162.83
30,140.64
31,164.71
32,150.46
33,162.76
34,157.94
35,161.38
36,168.33
37,163.9
38,156.76
39,174.1
40,170.43
41,180.15
42,179.07
43,178.14
44,164.79
45,192.3
46,185.52
47,178.59
48,186.85
49,203.42
50,183.6
51,179.7
52,173.86
53,196.42
54,196.13
55,192.14
56,194.15
57,197.0
58,207.39
59,221.96
60,215.83
