time,value
1,101.16
2,100.0
3,112.06
4,106.09
5,111.27
6,119.23
7,124.75
8,122.61
9,115.19
10,103.59
11,121.37
12,113.71
13,117.77
14,127.62
15,122.95
16,141.86
17,124.6
18,129.37
19,136.02
20,133.41
21,129.32
22,136.48
23,137.91
24,138.23
25,147.63
26,151.74
27,143.75
28,137.5
29,145.81
30,156.65
31,160.52
32,153.38
33,168.1
34,167.94
35,161.82
36,169.77
37,173.45
38,171.44
39,167.72
40,176.62
41,174.73
42,168.3
43,168.28
44,183.36
45,179.05
46,193.47
47,169.92
48,183.72
49,190.96
50,202.39
51,206.04
52,199.14
53,199.55
54,191.96
55,183.71
56,192.37
57,192.11
58,198.54
59,212.35
60,197.29
