time,value
1,97.09
2,109.05
3,122.27
4,116.53
5,94.73
6,100.3
7,113.85
8,107.9
9,110.39
10,126.36
11,143.41
12,114.71
13,133.86
14,117.08
15,117.63
16,129.95
17,117.15
18,137.07
19,134.83
20,140.15
21,140.71
22,144.59
23,155.57
24,148.5
25,154.94
26,138.76
27,135.46
28,151.6
29,149.53
30,147.92
31,162.32
32,156.28
33,160.72
34,162.43
35,165.9
36,172.51
37,166.17
38,166.59
39,168.11
40,175.4
41,174.68
42,175.65
43,171.72
44,198.45
45,189.09
46,179.02
47,196.68
48,198.61
49,186.95
50,191.97
51,192.92
52,193.19
53,198.02
54,205.53
55,212.96
56,209.9
57,212.19
58,217.09
59,187.6
60,218.27
