time,value
1,103.52
2,87.35
3,115.08
4,115.82
5,112.18
6,112.93
7,108.73
8,99.31
9,106.35
10,122.75
11,120.15
12,102.9
13,117.28
14,136.71
15,128.97
16,117.09
17,138.01
18,123.25
19,132.93
20,141.16
21,131.48
22,136.3
23,151.85
24,143.04
25,138.91
26,128.56
27,128.19
28,145.09
29,161.0
30,152.59
31,153.61
32,172.46
33,155.88
34,157.16
35,159.29
36,154.76
37,172.5
38,172.85
39,178.92
40,180.05
41,168.81
42,179.99
43,188.49
44,174.98
45,190.3
46,177.5
47,183.91
48,184.99
49,181.03
50,205.18
51,206.4
52,196.87
53,186.65
54,197.15
55,201.99
56,196.4
57,210.13
58,212.96
59,203.86
60,197.48
