time,value
1,120.76
2,103.94
3,99.42
4,95.87
5,106.23
6,102.84
7,104.61
8,112.83
9,119.21
10,127.55
11,117.17
12,127.14
13,131.17
14,116.92
15,123.86
16,117.32
17,126.88
18,127.56
19,150.93
20,131.1
21,141.85
22,138.6
23,125.55
24,146.61
25,153.2
26,154.78
27,149.02
28,149.45
29,141.94
30,150.68
31,154.71
32,167.46
33,167.41
34,172.35
35,155.09
36,166.66
37,173.69
38,163.1
39,165.81
40,167.18
41,181.55
42,169.52
43,166.63
44,169.52
45,178.82
46,187.5
47,196.05
48,182.06
49,184.4
50,196.47
51,213.39
52,193.26
53,196.86
54,189.63
55,200.88
56,208.47
57,200.92
58,209.87
59,220.31
60,210.3
